"uuid:ID","label","datatype","instanceType","isRequired","name","isEnabled","id"
"c166a863-1309-404c-82a8-57294bafcd18","DSDECOD","text","BiomedicalConceptProperty","True","DSDECOD","True","BiomedicalConceptProperty_116"
"fd42b9b5-40a3-40c7-90ce-a0f7f3eb3b64","DSTERM","text","BiomedicalConceptProperty","True","DSTERM","True","BiomedicalConceptProperty_117"
"ef0e83b1-3973-4a98-9b5e-531e281a55bf","DSSTDTC","datetime","BiomedicalConceptProperty","True","DSSTDTC","True","BiomedicalConceptProperty_118"
"2cea0294-5c13-4691-8225-c89205b25f5e","Sex","string","BiomedicalConceptProperty","True","Sex","True","BiomedicalConceptProperty_119"
"9fedcf5e-59b3-44b1-93f3-2441d7eca42c","Race","string","BiomedicalConceptProperty","True","Race","True","BiomedicalConceptProperty_120"
"752fae68-44f7-4f02-a423-d6db080808da","VSTESTCD","","BiomedicalConceptProperty","True","VSTESTCD","True","BiomedicalConceptProperty_121"
"92e454ba-f752-4c57-a04f-ece9d67bc5c1","VSORRES","float","BiomedicalConceptProperty","True","VSORRES","True","BiomedicalConceptProperty_122"
"dbb5da05-cfc9-49fe-be1e-8a87b8dddbd3","VSORRESU","","BiomedicalConceptProperty","True","VSORRESU","True","BiomedicalConceptProperty_123"
"317152fd-2043-4b14-9f6d-056e5ddee04a","VSLOC","","BiomedicalConceptProperty","True","VSLOC","True","BiomedicalConceptProperty_124"
"36b8fd48-cc65-47c4-a2e4-81b046318c88","VSTESTCD","","BiomedicalConceptProperty","True","VSTESTCD","True","BiomedicalConceptProperty_125"
"45cc1f8c-393b-4267-a544-ff3d4b3379e0","VSORRES","float","BiomedicalConceptProperty","True","VSORRES","True","BiomedicalConceptProperty_126"
"f5d7f25b-65ec-4544-b318-d8f2a5204d27","VSORRESU","","BiomedicalConceptProperty","True","VSORRESU","True","BiomedicalConceptProperty_127"
"57bc9824-0605-4660-b8cb-5545231d8daf","VSTESTCD","","BiomedicalConceptProperty","True","VSTESTCD","True","BiomedicalConceptProperty_128"
"a2dfd7fd-9b45-4354-80b2-b3417d40ca0d","VSORRES","float","BiomedicalConceptProperty","True","VSORRES","True","BiomedicalConceptProperty_129"
"d7dd972e-ecbf-4375-abd5-23ade7d9b597","VSORRESU","","BiomedicalConceptProperty","True","VSORRESU","True","BiomedicalConceptProperty_130"
"299a6727-e3f2-4bf0-86ef-b01dc95c1dda","LBTESTCD","","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_131"
"b7ddcd29-0086-413d-a5f3-e75cc986f115","LBORRES","float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_132"
"26e70858-539a-4e0b-a202-4fab6b02b2bd","LBORRESU","","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_133"
"ca471d9c-d3fa-4e39-988c-f5bf8270707d","LBSPEC","","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_134"
"799447d1-1bc8-4e91-a5b9-c72091f033c8","LBFAST","","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_135"
"abeff442-b11e-4c1c-bee3-214761ff99a7","LBTESTCD","","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_136"
"f730bc7f-aa36-4989-af14-6ae8db502a1e","LBORRES","text","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_137"
"9b5cefd6-cbfc-48ba-aa60-b11c27eed9e7","LBSPEC","","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_138"
"a06f52c6-cacd-47a9-b1c6-efbb858e45ac","LBFAST","","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_139"
"75000479-63d9-4084-8ac9-3bd97ee88c5f","LBTESTCD","","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_140"
"e95c97c3-923f-45eb-b579-7abaeb0d03e6","LBORRES","float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_141"
"ddfda2fe-7459-4bb9-b8a6-d7b437139c79","LBORRESU","","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_142"
"74d8dba3-fd72-40d8-8830-8febb14e70d9","LBSPEC","","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_143"
"6aac0496-2af3-4916-ac90-9b65d5e50418","LBFAST","","BiomedicalConceptProperty","True","LBFAST","True","BiomedicalConceptProperty_144"
"d9971a3d-3266-486d-a9ea-d6a0af387292","LBTESTCD","","BiomedicalConceptProperty","True","LBTESTCD","True","BiomedicalConceptProperty_145"
"eeb48acf-6ed2-4a47-b496-5464bf673b8c","LBORRES","float","BiomedicalConceptProperty","True","LBORRES","True","BiomedicalConceptProperty_146"
"5c0aa39d-9141-4dc2-a220-04acab62683d","LBORRESU","","BiomedicalConceptProperty","True","LBORRESU","True","BiomedicalConceptProperty_147"
"6c8a5290-1a44-4b7d-9e08-100e06ee64b0","LBSPEC","","BiomedicalConceptProperty","True","LBSPEC","True","BiomedicalConceptProperty_148"
