"id","description","instanceType","name","label","uuid:ID"
"StudyEpoch_1","Screening Epoch","StudyEpoch","Screening","Screening","b5b52c1c-6f84-45e0-9d71-cf65cdf76a19"
"StudyEpoch_2","Treatment Epoch","StudyEpoch","Treatment 1","Treatment One","34f9c225-42e3-4b83-aab4-cc7a4423c733"
"StudyEpoch_3","Treatment Epoch","StudyEpoch","Treatment 2","Treatment Two","85c0bdc4-7a2c-4712-a9dd-e0bb83f166e3"
"StudyEpoch_4","Treatment Epoch","StudyEpoch","Treatment 3","Treatment Three","f22c0af2-565c-4fb8-a07d-a80dbb5dd6f3"
"StudyEpoch_5","Follow-up Epoch","StudyEpoch","Follow-Up","Follow Up","5c7958f8-527f-4de8-abb3-e8fb3a39bf76"
