"dateValue","id","description","instanceType","name","label","uuid:ID"
"2006-06-01","GovernanceDate_1","Design approval date","GovernanceDate","D_APPROVE","Design Approval","9bc357d8-19d6-4cbe-b17c-5eafa7841a15"
"2006-07-01","GovernanceDate_2","Protocol document approval date","GovernanceDate","P_APPROVE","Protocol Approval","78f40ad7-d3e2-444f-91b7-d6937082811c"
