"instanceType","uuid:ID","otherReason","id"
"StudyAmendmentReason","500a6e12-a256-43bc-9547-3c0d2de361b4","","StudyAmendmentReason_1"
"StudyAmendmentReason","aa523836-4bd4-4513-83ec-86bf7509e7ce","Fix typographical errors","StudyAmendmentReason_2"
