"id","minValue","instanceType","isApproximate","uuid:ID","maxValue"
"Range_2","300.0","Range","False","e454d51a-d59c-4900-8c87-a6ae57703c7a","300.0"
"Range_1","300.0","Range","False","7ab937e7-a903-4b31-a44a-fd63f9d80ca8","300.0"
"Range_3","50.0","Range","False","114ce116-054f-43ba-aba4-10b6a10d8d97","100.0"
