"label","id","name","instanceType","isEnabled","isRequired","datatype","uuid:ID"
"Sex","BiomedicalConceptProperty_116","Sex","BiomedicalConceptProperty","True","True","string","a8868697-ab11-4485-89b5-fc35ddbf5ea4"
"Race","BiomedicalConceptProperty_117","Race","BiomedicalConceptProperty","True","True","string","7f4fb064-55b2-44d1-9575-fa02752800dd"
"VSTESTCD","BiomedicalConceptProperty_118","VSTESTCD","BiomedicalConceptProperty","True","True","","6c232cbf-ec6a-4a40-bd43-255728a53530"
"VSORRES","BiomedicalConceptProperty_119","VSORRES","BiomedicalConceptProperty","True","True","float","e1979603-6e1f-4bd1-bef7-6dc76b44b22e"
"VSORRESU","BiomedicalConceptProperty_120","VSORRESU","BiomedicalConceptProperty","True","True","","8422aa3e-4f17-4d13-888c-b48f2d4040e4"
"VSLOC","BiomedicalConceptProperty_121","VSLOC","BiomedicalConceptProperty","True","True","","abade0d2-e023-4868-9113-b69f595a37e1"
"VSTESTCD","BiomedicalConceptProperty_122","VSTESTCD","BiomedicalConceptProperty","True","True","","ff8c5106-5933-476f-8444-4a8744b436a7"
"VSORRES","BiomedicalConceptProperty_123","VSORRES","BiomedicalConceptProperty","True","True","float","7d8d1612-41a9-4d6d-98ee-736fb3c6a3b5"
"VSORRESU","BiomedicalConceptProperty_124","VSORRESU","BiomedicalConceptProperty","True","True","","509245b9-d8fb-4591-bb5d-dedfcb4e95af"
"VSTESTCD","BiomedicalConceptProperty_125","VSTESTCD","BiomedicalConceptProperty","True","True","","b52ad044-e074-489d-8797-b19b127f259c"
"VSORRES","BiomedicalConceptProperty_126","VSORRES","BiomedicalConceptProperty","True","True","float","692729c3-64aa-4fd6-8757-caacd9e0f35b"
"VSORRESU","BiomedicalConceptProperty_127","VSORRESU","BiomedicalConceptProperty","True","True","","fa79194f-acd6-4cc7-bba9-0c5281c6389a"
"LBTESTCD","BiomedicalConceptProperty_128","LBTESTCD","BiomedicalConceptProperty","True","True","","96fbe0f3-4e7e-4520-ac4a-7b7d4a3b9627"
"LBORRES","BiomedicalConceptProperty_129","LBORRES","BiomedicalConceptProperty","True","True","float","a1631155-5cb5-4fa4-9f76-f043787b5f43"
"LBORRESU","BiomedicalConceptProperty_130","LBORRESU","BiomedicalConceptProperty","True","True","","8c8166e2-ed18-4d4e-9528-280e39402e17"
"LBSPEC","BiomedicalConceptProperty_131","LBSPEC","BiomedicalConceptProperty","True","True","","dfea019a-d41b-49c0-93e5-89df738ae941"
"LBFAST","BiomedicalConceptProperty_132","LBFAST","BiomedicalConceptProperty","True","True","","221d802f-8097-43ef-bcf8-3586385df863"
"LBTESTCD","BiomedicalConceptProperty_133","LBTESTCD","BiomedicalConceptProperty","True","True","","7c1429fa-765a-4b24-8378-37d865cd98f0"
