"label","id","name","instanceType","description","dateValue","uuid:ID"
"Design Approval","GovernanceDate_1","D_APPROVE","GovernanceDate","Design approval date","2006-06-01","38865795-a755-443e-998f-462ece20c154"
"Protocol Approval","GovernanceDate_2","P_APPROVE","GovernanceDate","Protocol document approval date","2006-07-01","f8f2a3a3-0c95-459e-94da-8834c3b4471f"
