"label","id","name","instanceType","description","uuid:ID"
"IE Dictionary","SyntaxTemplateDictionary_1","IE_Dict","SyntaxTemplateDictionary","Dictionary for IE","71b74fbf-c1c5-4223-9a5f-b3d85dd8c454"
"Assessment Dictionary","SyntaxTemplateDictionary_2","AS_Dict","SyntaxTemplateDictionary","Dictionary for Study Assessments","6dc7c94c-3dfa-4657-93fa-7b809473cb95"
