"otherReason","instanceType","uuid:ID","id"
"","StudyAmendmentReason","7be32544-dc03-422f-b6ea-55201efe81bc","StudyAmendmentReason_1"
"Fix typographical errors","StudyAmendmentReason","80166c88-7f8c-4bc4-8166-c32f91c8e62d","StudyAmendmentReason_2"
