"id","instanceType","otherReason","uuid:ID"
"StudyAmendmentReason_1","StudyAmendmentReason","","f8bbf440-e9ab-451d-9a9a-1dfcbe3c03a9"
"StudyAmendmentReason_2","StudyAmendmentReason","Fix typographical errors","ec60780b-ae6d-4c6f-a88c-c34905c878bb"
