"name","parameterMap","id","description","instanceType","label","uuid:ID"
"IE_Dict","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}","SyntaxTemplateDictionary_1","Dictionary for IE","SyntaxTemplateDictionary","IE Dictionary","f7580494-0210-464a-803d-c5915adcc9eb"
"AS_Dict","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","SyntaxTemplateDictionary","Assessment Dictionary","0518f215-0201-4a40-b17f-45638258ad83"
