"uuid:ID","instanceType","id","otherReason"
"2d58fbe1-c610-41b6-b488-922765223975","StudyAmendmentReason","StudyAmendmentReason_1",""
"249c0bb2-997e-4df2-a3b4-a7bebaa13a21","StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors"
