"instanceType","dateValue","description","name","label","uuid:ID","id"
"GovernanceDate","2006-06-01","Design approval date","D_APPROVE","Design Approval","cab56e56-d0a0-4c79-b675-8a2452f33e26","GovernanceDate_1"
"GovernanceDate","2006-07-01","Protocol document approval date","P_APPROVE","Protocol Approval","7ecef863-0662-40f9-9894-4319ff57faed","GovernanceDate_2"
