"instanceType","isApproximate","maxValue","minValue","uuid:ID","id"
"Range","False","300.0","300.0","1d76bb59-2b9e-4ab3-a5ff-8eb218634417","Range_2"
"Range","False","300.0","300.0","448dfdd4-67eb-4d8e-b2a7-05d24e22243c","Range_1"
"Range","False","100.0","50.0","9bd83836-47ab-4379-af99-e46f8f3e57c4","Range_3"
