"instanceType","uuid:ID","description","id","dateValue","label","name"
"GovernanceDate","270a9a14-7a71-4576-b344-dc910fe02572","Design approval date","GovernanceDate_1","2006-06-01","Design Approval","D_APPROVE"
"GovernanceDate","2dfd0221-ca86-4cfa-a401-e901cd2b5132","Protocol document approval date","GovernanceDate_2","2006-07-01","Protocol Approval","P_APPROVE"
