"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","70d66ba5-d690-4994-92fb-a095c1b841c4"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","3e9c7df6-1c96-4db5-9463-3b482c323db7"
