"isApproximate","maxValue","instanceType","uuid:ID","minValue","id"
"False","300.0","Range","11201b5a-2f2c-49e4-9ca8-e7cbb0eb4606","300.0","Range_2"
"False","300.0","Range","f4a76e27-a32a-4b11-9551-23f61c4102bf","300.0","Range_1"
"False","100.0","Range","d897bd6c-3056-4768-b774-a0a73c09998f","50.0","Range_3"
