"id","uuid:ID","otherReason","instanceType"
"StudyAmendmentReason_1","f3a1e37e-fe78-4fd4-9ddb-9710e1b15288","","StudyAmendmentReason"
"StudyAmendmentReason_2","97d44a50-e050-4916-a428-af738b5d20c0","Fix typographical errors","StudyAmendmentReason"
