"id","instanceType","uuid:ID","otherReason"
"StudyAmendmentReason_1","StudyAmendmentReason","db1fb921-7f4f-4495-a44c-12dcdf9748eb",""
"StudyAmendmentReason_2","StudyAmendmentReason","58060467-8fbd-4059-ba71-b682ce1fbb33","Fix typographical errors"
