"minValue","uuid:ID","id","instanceType","isApproximate","maxValue"
"300.0","45edb90e-bd3f-411a-b1ed-5d9892780db3","Range_2","Range","False","300.0"
"300.0","19ad8e94-9066-41f2-89f8-a8b46253dba8","Range_1","Range","False","300.0"
"50.0","4040a3c4-755f-4a24-a3e5-d7e6eaa1a2de","Range_3","Range","False","100.0"
