"label","name","uuid:ID","id","instanceType","description","parameterMap"
"IE Dictionary","IE_Dict","c78640ab-60dd-4995-bf84-1ba29378d6c7","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","Dictionary for IE","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}"
"Assessment Dictionary","AS_Dict","c4df4ba7-bf25-4ac5-a29a-40520bd1f75c","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","Dictionary for Study Assessments","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}"
