"uuid:ID","otherReason","instanceType","id"
"2e9f1feb-15ba-49c3-97e2-aae7c60dae90","","StudyAmendmentReason","StudyAmendmentReason_1"
"6b604822-473b-442a-9404-7860d7a718e4","Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2"
