"uuid:ID","id","instanceType","maxValue","isApproximate","minValue"
"a7affc69-741c-49a7-a58f-cb3d536e466a","Range_2","Range","300.0","False","300.0"
"a3ac67f6-8a75-42f9-b119-81b57452b3af","Range_1","Range","300.0","False","300.0"
"ae1d8512-c9e5-4e58-8622-22f7f41cd0f5","Range_3","Range","100.0","False","50.0"
