"id","minValue","instanceType","isApproximate","uuid:ID","maxValue"
"Range_2","300.0","Range","False","7c4c482d-a56b-4edc-9304-cdbd4bf6fd7d","300.0"
"Range_1","300.0","Range","False","4e00244d-1d30-4ec3-b8aa-8baf2c8f5e80","300.0"
"Range_3","50.0","Range","False","1f15c1e4-7bf4-48fa-b964-058e604621e1","100.0"
