"instanceType","uuid:ID","otherReason","id"
"StudyAmendmentReason","706b8b3a-fea9-4326-bac2-4e563d84f0a8","","StudyAmendmentReason_1"
"StudyAmendmentReason","cfc4875b-f33d-40fb-80df-0f348b824a5f","Fix typographical errors","StudyAmendmentReason_2"
