"id","description","instanceType","name","label","uuid:ID"
"StudyEpoch_1","Screening Epoch","StudyEpoch","Screening","Screening","428161fc-3570-4bb1-8b75-b446989a18ec"
"StudyEpoch_2","Treatment Epoch","StudyEpoch","Treatment 1","Treatment One","a010dfbd-dd32-48d2-8b6c-1ade4fb29ee1"
"StudyEpoch_3","Treatment Epoch","StudyEpoch","Treatment 2","Treatment Two","0da69806-a7fb-4e35-8a78-434b377dbaaf"
"StudyEpoch_4","Treatment Epoch","StudyEpoch","Treatment 3","Treatment Three","d7d832b1-9875-48ff-a169-dfa483610519"
"StudyEpoch_5","Follow-up Epoch","StudyEpoch","Follow-Up","Follow Up","420a1cd0-408f-4828-8dc3-134a6658d998"
