"dateValue","id","description","instanceType","name","label","uuid:ID"
"2006-06-01","GovernanceDate_1","Design approval date","GovernanceDate","D_APPROVE","Design Approval","0e5aa829-f992-4448-9430-dc8223d28c75"
"2006-07-01","GovernanceDate_2","Protocol document approval date","GovernanceDate","P_APPROVE","Protocol Approval","5b12dce1-9d71-4369-8624-2b27bef4e175"
