"id","label","isEnabled","datatype","isRequired","name","uuid:ID","instanceType"
"BiomedicalConceptProperty_116","DSDECOD","True","text","True","DSDECOD","55a98b25-137c-4cbf-8970-5d73cdf7fc3b","BiomedicalConceptProperty"
"BiomedicalConceptProperty_117","DSTERM","True","text","True","DSTERM","c446949a-66f2-467f-a672-fb404d0327ec","BiomedicalConceptProperty"
"BiomedicalConceptProperty_118","DSSTDTC","True","datetime","True","DSSTDTC","a6b490b7-d731-400a-a6fd-01cb411368a8","BiomedicalConceptProperty"
"BiomedicalConceptProperty_119","Sex","True","string","True","Sex","45fa4920-8980-4ce4-9ef0-f0afb19764cd","BiomedicalConceptProperty"
"BiomedicalConceptProperty_120","Race","True","string","True","Race","af0d57f9-c324-46c0-a88f-db15595cbf5f","BiomedicalConceptProperty"
"BiomedicalConceptProperty_121","VSTESTCD","True","","True","VSTESTCD","f36c16c5-0ef4-4e37-a2da-fd5d5f561663","BiomedicalConceptProperty"
"BiomedicalConceptProperty_122","VSORRES","True","float","True","VSORRES","1fef1c8d-5e37-4f17-80d9-ef353db619b8","BiomedicalConceptProperty"
"BiomedicalConceptProperty_123","VSORRESU","True","","True","VSORRESU","52f817bf-38d8-44b1-bd15-8f2858621e95","BiomedicalConceptProperty"
"BiomedicalConceptProperty_124","VSLOC","True","","True","VSLOC","cc296c44-82d6-4d7b-8a11-d10cae70f129","BiomedicalConceptProperty"
"BiomedicalConceptProperty_125","VSTESTCD","True","","True","VSTESTCD","beeaeccd-2f6d-4f35-bfe5-dd95a94d59a7","BiomedicalConceptProperty"
"BiomedicalConceptProperty_126","VSORRES","True","float","True","VSORRES","28884558-b09f-47de-81f6-7871586bb2c2","BiomedicalConceptProperty"
"BiomedicalConceptProperty_127","VSORRESU","True","","True","VSORRESU","71e3d3d2-a699-4ac5-8f97-11c9b3adf322","BiomedicalConceptProperty"
"BiomedicalConceptProperty_128","VSTESTCD","True","","True","VSTESTCD","7005fd75-e2dd-4e01-a7cf-4d3a28acdc04","BiomedicalConceptProperty"
"BiomedicalConceptProperty_129","VSORRES","True","float","True","VSORRES","716778ef-2031-44f5-a0ee-3591b9f9d70a","BiomedicalConceptProperty"
"BiomedicalConceptProperty_130","VSORRESU","True","","True","VSORRESU","a2b31b3e-af64-43ca-9484-5a660b037de8","BiomedicalConceptProperty"
"BiomedicalConceptProperty_131","LBTESTCD","True","","True","LBTESTCD","e0669026-6c60-4637-a788-51b10cb8ad09","BiomedicalConceptProperty"
"BiomedicalConceptProperty_132","LBORRES","True","float","True","LBORRES","2b305b00-35ff-4b3c-bff2-c87cbff9fce2","BiomedicalConceptProperty"
"BiomedicalConceptProperty_133","LBORRESU","True","","True","LBORRESU","ebbf6f5f-aa70-4b47-ba43-b6698bf18891","BiomedicalConceptProperty"
"BiomedicalConceptProperty_134","LBSPEC","True","","True","LBSPEC","95687209-a72b-4f23-8a6f-64db10143ba5","BiomedicalConceptProperty"
"BiomedicalConceptProperty_135","LBFAST","True","","True","LBFAST","b5b84f16-d44d-46b8-b88d-98ae3e25bf18","BiomedicalConceptProperty"
"BiomedicalConceptProperty_136","LBTESTCD","True","","True","LBTESTCD","0850804a-dd50-4c26-9a5d-0222b10558e5","BiomedicalConceptProperty"
"BiomedicalConceptProperty_137","LBORRES","True","text","True","LBORRES","101c18ad-40c7-4d31-b6b1-8927321e7ef8","BiomedicalConceptProperty"
"BiomedicalConceptProperty_138","LBSPEC","True","","True","LBSPEC","7b4e4e63-690e-4aed-a80f-cf465a580621","BiomedicalConceptProperty"
"BiomedicalConceptProperty_139","LBFAST","True","","True","LBFAST","dc9f2094-36b5-4a6e-8f1b-504a33789399","BiomedicalConceptProperty"
"BiomedicalConceptProperty_140","LBTESTCD","True","","True","LBTESTCD","03de9383-a88b-4786-a37c-984c7fe8a7b5","BiomedicalConceptProperty"
"BiomedicalConceptProperty_141","LBORRES","True","float","True","LBORRES","72f8ad19-b135-4c22-9f4c-c9d5c711d867","BiomedicalConceptProperty"
"BiomedicalConceptProperty_142","LBORRESU","True","","True","LBORRESU","42a27ec3-7111-4ac5-a38e-76caeb88c0be","BiomedicalConceptProperty"
"BiomedicalConceptProperty_143","LBSPEC","True","","True","LBSPEC","8c58d4cc-e3f3-4ec7-abfc-1ba396d15e12","BiomedicalConceptProperty"
"BiomedicalConceptProperty_144","LBFAST","True","","True","LBFAST","66e38301-2fb3-430c-8f27-727d5056fd96","BiomedicalConceptProperty"
"BiomedicalConceptProperty_145","LBTESTCD","True","","True","LBTESTCD","2f57165f-28ea-4875-b47c-664263152d59","BiomedicalConceptProperty"
"BiomedicalConceptProperty_146","LBORRES","True","float","True","LBORRES","1ff9ba8d-0ad6-4b43-9532-10f84b16286c","BiomedicalConceptProperty"
