"id","label","description","name","uuid:ID","instanceType"
"SyntaxTemplateDictionary_1","IE Dictionary","Dictionary for IE","IE_Dict","741fa17f-0e47-4c7d-99ba-01a3d548e726","SyntaxTemplateDictionary"
"SyntaxTemplateDictionary_2","Assessment Dictionary","Dictionary for Study Assessments","AS_Dict","7ef4825a-5152-46db-9c8d-0b91257ddc54","SyntaxTemplateDictionary"
