"id","label","description","dateValue","name","uuid:ID","instanceType"
"GovernanceDate_1","Design Approval","Design approval date","2006-06-01","D_APPROVE","681989be-6caa-466d-995e-c1b50ee03c7b","GovernanceDate"
"GovernanceDate_2","Protocol Approval","Protocol document approval date","2006-07-01","P_APPROVE","ebfacf0e-25c3-4f35-bd8a-eca151920d6f","GovernanceDate"
