"id","instanceType","otherReason","uuid:ID"
"StudyAmendmentReason_1","StudyAmendmentReason","","53fc92be-6388-49e1-9537-2def881f593b"
"StudyAmendmentReason_2","StudyAmendmentReason","Fix typographical errors","5c46e05e-648a-4030-9374-f62b5e6b669f"
