"minValue","uuid:ID","id","isApproximate","maxValue","instanceType"
"300.0","636d9daf-1072-48c1-b135-6587fca2bcb3","Range_2","False","300.0","Range"
"300.0","faaf10b7-7d85-47ec-bb28-c9a155d6fa72","Range_1","False","300.0","Range"
"50.0","f6a72983-5e5a-4eee-a8e8-e0428273aa3a","Range_3","False","100.0","Range"
