"description","label","name","uuid:ID","id","dateValue","instanceType"
"Design approval date","Design Approval","D_APPROVE","9763e6ed-674c-4d28-954c-138a0ae7f740","GovernanceDate_1","2006-06-01","GovernanceDate"
"Protocol document approval date","Protocol Approval","P_APPROVE","767434b5-750a-4d69-97d2-e228fbd7acda","GovernanceDate_2","2006-07-01","GovernanceDate"
