"label","name","datatype","uuid:ID","id","isEnabled","isRequired","instanceType"
"Sex","Sex","string","a0a82cf9-7031-40c6-a05a-e125256b6425","BiomedicalConceptProperty_116","True","True","BiomedicalConceptProperty"
"Race","Race","string","3aca9025-1f89-4fd4-931b-0a968f2dc3ff","BiomedicalConceptProperty_117","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","abf06425-33f9-41c7-939b-0680f193c45a","BiomedicalConceptProperty_118","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","float","511498b9-77b9-413b-af6f-1d943ade114e","BiomedicalConceptProperty_119","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","0b2fc8fa-688b-4460-ae2c-231a529a51cc","BiomedicalConceptProperty_120","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","538e986a-373d-441f-b512-9ab632206daf","BiomedicalConceptProperty_121","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","46309efe-19c1-4c26-bea4-08a5e10029a1","BiomedicalConceptProperty_122","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","float","c9588fe8-814e-4410-8354-aa9e09583c0b","BiomedicalConceptProperty_123","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","0574c622-3fba-48a5-8c44-f08d7f41f397","BiomedicalConceptProperty_124","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","c9d49895-c79a-43d2-bd70-86b83770ffd6","BiomedicalConceptProperty_125","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","float","317cedb0-e70d-4240-8340-744c326c3627","BiomedicalConceptProperty_126","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","a60e0782-ae53-4695-a343-48ac304f34b0","BiomedicalConceptProperty_127","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","9e1f0e01-10b3-43ad-bad8-5679b1a99156","BiomedicalConceptProperty_128","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","5d2e6b09-043f-49e7-9b69-9b8956d69a98","BiomedicalConceptProperty_129","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","617a900f-f0f6-472e-b534-6c99881e33c4","BiomedicalConceptProperty_130","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","d15a5683-81e3-4df2-ac43-039aff919ca3","BiomedicalConceptProperty_131","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","bf7a2338-98cb-4ea6-8f52-a18257ecffbe","BiomedicalConceptProperty_132","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","50827a4a-9892-4ba7-933c-8e5599a1eb07","BiomedicalConceptProperty_133","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","text","24387382-1b4d-419a-88ad-b0ea0d0382e2","BiomedicalConceptProperty_134","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","870e6f07-7b22-4451-9b38-2bc6faf55a72","BiomedicalConceptProperty_135","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","5532d80c-ed5b-440b-a900-023be6bf6b31","BiomedicalConceptProperty_136","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","92ab84a6-c1ee-4f53-a28e-19a49d97b613","BiomedicalConceptProperty_137","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","b99e7ee4-ea71-4618-9eec-519bfe1e986f","BiomedicalConceptProperty_138","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","aa95a6ce-444a-4ae8-8ecc-08772a551c40","BiomedicalConceptProperty_139","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","bac37074-e607-4f36-a88f-d2bd0bce9c70","BiomedicalConceptProperty_140","True","True","BiomedicalConceptProperty"
