"otherReason","id","uuid:ID","instanceType"
"","StudyAmendmentReason_1","a7d52e18-88fa-4938-8769-55afa52540a0","StudyAmendmentReason"
"Fix typographical errors","StudyAmendmentReason_2","194a7b39-e4c9-44a5-ad04-facec36d3972","StudyAmendmentReason"
