"label","id","name","datatype","isRequired","isEnabled","uuid:ID","instanceType"
"Sex","BiomedicalConceptProperty_116","Sex","string","True","True","8ece8c8a-0d3a-4b94-9a37-bbb6967b1f37","BiomedicalConceptProperty"
"Race","BiomedicalConceptProperty_117","Race","string","True","True","fe24e571-40d4-4e98-b94e-a875f9c97f2d","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_118","VSTESTCD","","True","True","c29ac93b-1ea9-40ad-8f7b-13c47c11e019","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_119","VSORRES","float","True","True","0e2738d7-eea6-409c-aad7-f7fcad1aa310","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_120","VSORRESU","","True","True","649078ce-2a59-4044-9b57-7b5aa673b2a9","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_121","VSLOC","","True","True","0d14ed8b-572c-45a8-978e-c08a5ef11e15","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_122","VSTESTCD","","True","True","f4d3fdc9-22ae-46fe-8d8c-aeee280321ce","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_123","VSORRES","float","True","True","0183be32-f927-4f1f-968c-28a63cc5fd97","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_124","VSORRESU","","True","True","d6a315c5-7b05-4f2c-8417-8fb2769ed1d3","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_125","VSTESTCD","","True","True","1d26e689-5e75-43f4-b854-6ef5605f7889","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_126","VSORRES","float","True","True","ee943427-a257-4f30-a16e-72bd9c16f288","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_127","VSORRESU","","True","True","1d156506-c6ca-478c-b277-56fcc5c0f6ba","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_128","LBTESTCD","","True","True","caeb48da-6682-4f13-bc75-1d8ac58dedaf","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_129","LBORRES","float","True","True","8a03dd79-630b-4215-a0c7-438b08ff5d06","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_130","LBORRESU","","True","True","9b1db987-7bcf-4c65-8923-6f258fd07dcf","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_131","LBSPEC","","True","True","8d09b975-de9e-4206-b7e1-daaaef17ac7c","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_132","LBFAST","","True","True","b7305978-c6fe-4b9d-a6c8-7516dcccc83d","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_133","LBTESTCD","","True","True","9a725e93-431b-4a32-842d-3ede53391714","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_134","LBORRES","text","True","True","533430f7-1679-4da1-a164-dde327cd5abd","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_135","LBSPEC","","True","True","c1737793-3441-4b5d-b42b-29ad399d5985","BiomedicalConceptProperty"
