"isApproximate","id","instanceType","minValue","uuid:ID","maxValue"
"False","Range_2","Range","300.0","9d3f6554-f024-48cc-b2c9-89db86264c3c","300.0"
"False","Range_1","Range","300.0","d3d74e39-4983-4f40-bf0f-28e7314b6b28","300.0"
"False","Range_3","Range","50.0","8d8c4696-51cc-428e-a156-63bfe9e4f060","100.0"
