"instanceType","id","name","label","description","uuid:ID","parameterMap"
"SyntaxTemplateDictionary","SyntaxTemplateDictionary_1","IE_Dict","IE Dictionary","Dictionary for IE","250c99e0-2ea6-40bc-a150-ad7aebb5697d","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}"
"SyntaxTemplateDictionary","SyntaxTemplateDictionary_2","AS_Dict","Assessment Dictionary","Dictionary for Study Assessments","03f06cb8-308e-4b48-91c3-dfad44049f72","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}"
