"instanceType","id","name","label","dateValue","uuid:ID","description"
"GovernanceDate","GovernanceDate_1","D_APPROVE","Design Approval","2006-06-01","17c4bdc9-8bcb-44b5-9398-f41166ca01c7","Design approval date"
"GovernanceDate","GovernanceDate_2","P_APPROVE","Protocol Approval","2006-07-01","8fff0991-cf5a-4cb0-b27a-b37b2aa5e18b","Protocol document approval date"
