"instanceType","id","otherReason","uuid:ID"
"StudyAmendmentReason","StudyAmendmentReason_1","","e7baf38f-438d-48ec-a2d6-f290974c1305"
"StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors","d32309a6-59b4-4637-abfe-614d0846dd93"
