"uuid:ID","instanceType","id","label","description","name"
"2b42688d-c19e-4f1e-914c-5c49c6b863e5","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1","IE Dictionary","Dictionary for IE","IE_Dict"
"9791b45e-58a7-4316-9b63-845196b7b3ca","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2","Assessment Dictionary","Dictionary for Study Assessments","AS_Dict"
