"isEnabled","uuid:ID","datatype","instanceType","id","label","isRequired","name"
"True","51ef87c9-8698-4da0-ae38-c9306dec3fe3","text","BiomedicalConceptProperty","BiomedicalConceptProperty_116","DSDECOD","True","DSDECOD"
"True","860dc472-92a7-4f5c-8c2e-05d80799d40b","text","BiomedicalConceptProperty","BiomedicalConceptProperty_117","DSTERM","True","DSTERM"
"True","25e2c8f1-6807-4489-a6a9-ca89a388a508","datetime","BiomedicalConceptProperty","BiomedicalConceptProperty_118","DSSTDTC","True","DSSTDTC"
"True","a5c9ec06-efa5-4a3d-96fc-3051ab1ff8f3","string","BiomedicalConceptProperty","BiomedicalConceptProperty_119","Sex","True","Sex"
"True","a1002f22-ccb1-4aac-b372-27b67ddf05a2","string","BiomedicalConceptProperty","BiomedicalConceptProperty_120","Race","True","Race"
"True","93170d0c-1afe-4aa0-8e97-aa5b5380a649","","BiomedicalConceptProperty","BiomedicalConceptProperty_121","VSTESTCD","True","VSTESTCD"
"True","8b48f630-b1ba-48c5-a043-69c8bcf0def7","float","BiomedicalConceptProperty","BiomedicalConceptProperty_122","VSORRES","True","VSORRES"
"True","e78d34f0-6ae7-4a56-8e55-d084b15b7450","","BiomedicalConceptProperty","BiomedicalConceptProperty_123","VSORRESU","True","VSORRESU"
"True","f260155a-546b-4b88-b61d-49f8f3dad24c","","BiomedicalConceptProperty","BiomedicalConceptProperty_124","VSLOC","True","VSLOC"
"True","eaee649b-a3ab-4ca0-863f-3315b06afeeb","","BiomedicalConceptProperty","BiomedicalConceptProperty_125","VSTESTCD","True","VSTESTCD"
"True","aac12642-296a-4a4f-ba73-ac093bfed9be","float","BiomedicalConceptProperty","BiomedicalConceptProperty_126","VSORRES","True","VSORRES"
"True","f04dd443-cbff-4ea7-bac0-7c8169c95a7a","","BiomedicalConceptProperty","BiomedicalConceptProperty_127","VSORRESU","True","VSORRESU"
"True","0c7d2586-dbe0-4a6a-b020-6039952ade23","","BiomedicalConceptProperty","BiomedicalConceptProperty_128","VSTESTCD","True","VSTESTCD"
"True","217c155b-4689-42fb-944a-2f8b87728d82","float","BiomedicalConceptProperty","BiomedicalConceptProperty_129","VSORRES","True","VSORRES"
"True","120f5099-8802-4003-8317-8ec9f857f581","","BiomedicalConceptProperty","BiomedicalConceptProperty_130","VSORRESU","True","VSORRESU"
"True","8b3082dd-22b4-4dc3-a4df-369c8757cc3c","","BiomedicalConceptProperty","BiomedicalConceptProperty_131","LBTESTCD","True","LBTESTCD"
"True","5d93040d-529e-45e8-b44e-c2d79aaf3fe2","float","BiomedicalConceptProperty","BiomedicalConceptProperty_132","LBORRES","True","LBORRES"
"True","e00dabb4-9db9-42c6-9f6d-601b17b61ccd","","BiomedicalConceptProperty","BiomedicalConceptProperty_133","LBORRESU","True","LBORRESU"
"True","187be962-4eb1-4c29-b43e-f57d1e198cc9","","BiomedicalConceptProperty","BiomedicalConceptProperty_134","LBSPEC","True","LBSPEC"
"True","a6a50c6c-84da-420a-814c-a6fa3d3ca8fd","","BiomedicalConceptProperty","BiomedicalConceptProperty_135","LBFAST","True","LBFAST"
"True","22931645-2bc2-41ef-92af-d6cb4b0b7987","","BiomedicalConceptProperty","BiomedicalConceptProperty_136","LBTESTCD","True","LBTESTCD"
"True","813c004b-e2dc-46ed-be18-0da768622ce5","text","BiomedicalConceptProperty","BiomedicalConceptProperty_137","LBORRES","True","LBORRES"
"True","5d01bc36-9304-48af-b138-9c5f707893d1","","BiomedicalConceptProperty","BiomedicalConceptProperty_138","LBSPEC","True","LBSPEC"
"True","9aa60e71-1165-4513-8122-3f1447754c16","","BiomedicalConceptProperty","BiomedicalConceptProperty_139","LBFAST","True","LBFAST"
"True","73f689b9-201b-4e74-9c67-c6ba67547a3a","","BiomedicalConceptProperty","BiomedicalConceptProperty_140","LBTESTCD","True","LBTESTCD"
"True","4c204294-bf7b-41b6-9672-5f5f860b1336","float","BiomedicalConceptProperty","BiomedicalConceptProperty_141","LBORRES","True","LBORRES"
"True","e8dd1aeb-bcad-48b1-b3ef-ab3654c36ef1","","BiomedicalConceptProperty","BiomedicalConceptProperty_142","LBORRESU","True","LBORRESU"
"True","52c51bee-f3af-4a8a-b072-f6e4dd4e8c81","","BiomedicalConceptProperty","BiomedicalConceptProperty_143","LBSPEC","True","LBSPEC"
"True","4ebf961e-12f0-467c-b9bb-adea285256f6","","BiomedicalConceptProperty","BiomedicalConceptProperty_144","LBFAST","True","LBFAST"
"True","fb66c681-443b-4ffc-be06-dd102c455132","","BiomedicalConceptProperty","BiomedicalConceptProperty_145","LBTESTCD","True","LBTESTCD"
"True","64a64f14-4264-4933-aa09-f118cc000ffe","float","BiomedicalConceptProperty","BiomedicalConceptProperty_146","LBORRES","True","LBORRES"
"True","21828abf-f40c-4cf2-a5a0-b8dff8324351","","BiomedicalConceptProperty","BiomedicalConceptProperty_147","LBORRESU","True","LBORRESU"
