"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","161e0ba9-3c4a-4497-8765-405f39cc6c12","StudyAmendmentReason_1",""
"StudyAmendmentReason","e930f06c-a241-4c04-b241-3dd7d548ed25","StudyAmendmentReason_2","Fix typographical errors"
