"uuid:ID","description","instanceType","name","label","id"
"e80e3c46-606a-41e2-bc6a-834abd6e314d","Dictionary for IE","SyntaxTemplateDictionary","IE_Dict","IE Dictionary","SyntaxTemplateDictionary_1"
"da857ddd-9f7d-41da-a643-e689a935026f","Dictionary for Study Assessments","SyntaxTemplateDictionary","AS_Dict","Assessment Dictionary","SyntaxTemplateDictionary_2"
