"isEnabled","uuid:ID","instanceType","name","datatype","label","isRequired","id"
"True","be2d3f7e-5f74-4d23-8ebd-38a99cde085e","BiomedicalConceptProperty","DSDECOD","text","DSDECOD","True","BiomedicalConceptProperty_116"
"True","4e6dacb7-1b7b-4dc9-815a-1f1206118b8a","BiomedicalConceptProperty","DSTERM","text","DSTERM","True","BiomedicalConceptProperty_117"
"True","eac2b274-646f-4c38-ad60-57a634bd8a43","BiomedicalConceptProperty","DSSTDTC","datetime","DSSTDTC","True","BiomedicalConceptProperty_118"
"True","25d47ba8-6ee1-42f5-8356-db15dbe7090a","BiomedicalConceptProperty","Sex","string","Sex","True","BiomedicalConceptProperty_119"
"True","5c9b349c-923d-4391-9aba-778eadc6aa12","BiomedicalConceptProperty","Race","string","Race","True","BiomedicalConceptProperty_120"
"True","503ee70b-35af-4abc-9ff7-21d3602f8f2a","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_121"
"True","1e277349-4214-4677-a289-c854955a79f3","BiomedicalConceptProperty","VSORRES","float","VSORRES","True","BiomedicalConceptProperty_122"
"True","c8fb2538-e629-40d5-bbf6-752eed67db6b","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_123"
"True","4fd60e0b-1e76-4a3f-8050-71c323f4b8a2","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_124"
"True","1de06563-ba60-4830-97d8-b2114f7cc90a","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_125"
"True","b084abdb-f557-4de9-b0ad-f9d4b43bf1ba","BiomedicalConceptProperty","VSORRES","float","VSORRES","True","BiomedicalConceptProperty_126"
"True","dce54976-bbc2-4e70-8eb2-65da5b5eca2d","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_127"
"True","c2369420-5d7d-48c0-93a3-337a5afdd5af","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_128"
"True","c532146d-3cca-4d75-b0d3-e76218248b2d","BiomedicalConceptProperty","VSORRES","float","VSORRES","True","BiomedicalConceptProperty_129"
"True","084686b5-cb15-4c26-8cc0-157e4800eb69","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_130"
"True","0fe6e52b-9d77-479a-ad91-93aa0342f701","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_131"
"True","4ab0f768-4bdc-43ab-a276-ed0a6dce74e2","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_132"
"True","b2350a8a-4e56-463f-b2a5-d99ded779b36","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_133"
"True","6fd6ff2b-1b1f-4540-846d-404bfa31e24b","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_134"
"True","253c45ef-a463-4006-9c0f-165923de476d","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_135"
"True","f4d507fb-c5d4-4698-b8ce-2276f5414210","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_136"
"True","61821e91-d6dc-4e29-a440-5cfa98e59936","BiomedicalConceptProperty","LBORRES","text","LBORRES","True","BiomedicalConceptProperty_137"
"True","d48c5574-e9bb-49cc-aef4-c2588e4da2e6","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_138"
"True","b990d146-d775-477f-ad73-9b47ea5184e2","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_139"
"True","28663761-fc6c-4195-89f6-b53c63e1bc76","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_140"
"True","93939cfc-0d68-4c07-99fa-05042eaee008","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_141"
"True","92bb1286-d2b5-4c34-b6d2-245c84e56deb","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_142"
"True","1f3556dd-89b4-4b7c-88d7-bbd30a4e5437","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_143"
"True","a7fdea87-80eb-4046-b90c-a8ece3754045","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_144"
"True","66bbb37c-d880-4c3a-bd73-f0196e876126","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_145"
"True","08cf7b44-a89f-4cc5-9b0f-183128fa97bb","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_146"
"True","4b56eb97-e152-46df-b4bc-939e5cc6cb15","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_147"
"True","7757c9b1-624b-431d-97f3-a9f222fb65b7","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_148"
"True","18a87dcf-ebfd-47ae-b3e7-19d8c61f46f1","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_149"
"True","cee04ba8-9766-4a8e-bd3f-bd9eee6d3cae","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_150"
"True","b2a78a3a-1618-4e83-889d-2fcf3a5c6041","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_151"
"True","e034df29-c4c0-4475-b848-c5439a15536f","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_152"
"True","d5273614-74cf-426e-80bf-88c39ec3f055","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_153"
"True","343bfce8-3c66-4f92-997c-120c1e9b7559","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_154"
"True","536a8875-3334-4c14-ab7d-a1cd781e2387","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_155"
"True","c3c54b2a-e74e-4268-881c-58845b9685f2","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_156"
"True","0786da19-8112-4678-aaad-70352130281e","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_157"
"True","dc2a862b-121e-484e-b03d-7cd3006996cc","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_158"
"True","ff005759-4cb1-42eb-bc39-4e68c83d5771","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_159"
"True","ce5c7bf3-7a1a-4493-ac2c-b31125b0a2ea","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_160"
"True","9c894f29-0c7f-462c-97f6-a8da1d78b22d","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_161"
"True","ef18dc55-44a4-4f3e-867c-2f28967d23d3","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_162"
"True","61398e2c-7709-4448-8051-25c340261e7b","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_163"
"True","41a73cf7-5170-4a21-8884-e05f3c36540b","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_164"
"True","cbfff329-da6b-434c-8bfa-d21e7eb30192","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_165"
"True","db3f5809-39cc-4474-80d0-4ead03c6e147","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_166"
"True","2a70db8a-8eb0-4218-a501-28cc866f49cd","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_167"
"True","e670d4b4-1b5b-43bd-a471-699db8127a33","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_168"
"True","4e36cd23-f327-4fd9-8ec3-34988dca364a","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_169"
"True","7f6475ce-8022-499a-a3ba-bb4e0a8e6077","BiomedicalConceptProperty","AETERM","text","AETERM","True","BiomedicalConceptProperty_1"
"True","88aeb1b9-453d-4012-b66e-ff4ce0e9152a","BiomedicalConceptProperty","AEDECOD","text","AEDECOD","True","BiomedicalConceptProperty_2"
