"description","instanceType","name","id","label","uuid:ID"
"Screening Epoch","StudyEpoch","Screening","StudyEpoch_1","Screening","83e3514b-a143-4771-b3de-cde385f4db07"
"Treatment Epoch","StudyEpoch","Treatment 1","StudyEpoch_2","Treatment One","913a92e6-55c5-49fc-a301-ae56ce98ebe8"
"Treatment Epoch","StudyEpoch","Treatment 2","StudyEpoch_3","Treatment Two","d4364cbd-7205-4208-a545-c53262291e5f"
"Treatment Epoch","StudyEpoch","Treatment 3","StudyEpoch_4","Treatment Three","9a83bf37-cae7-49b6-ba7e-faf71b3c508b"
"Follow-up Epoch","StudyEpoch","Follow-Up","StudyEpoch_5","Follow Up","2a1998de-a989-4646-a6dc-34ebbcc7337a"
