"description","instanceType","name","id","label","uuid:ID"
"Dictionary for IE","SyntaxTemplateDictionary","IE_Dict","SyntaxTemplateDictionary_1","IE Dictionary","c9606459-4c12-4dd6-b8f9-729814f940b7"
"Dictionary for Study Assessments","SyntaxTemplateDictionary","AS_Dict","SyntaxTemplateDictionary_2","Assessment Dictionary","72435b3b-eac0-46b0-a561-382222997194"
