"otherReason","instanceType","uuid:ID","id"
"","StudyAmendmentReason","83b2e189-c32d-4992-b2d6-a9dee07cc600","StudyAmendmentReason_1"
"Fix typographical errors","StudyAmendmentReason","ca63f16b-cf4c-42d2-9e90-61e1b361d9bb","StudyAmendmentReason_2"
