"datatype","instanceType","name","isEnabled","id","label","isRequired","uuid:ID"
"text","BiomedicalConceptProperty","DSDECOD","True","BiomedicalConceptProperty_116","DSDECOD","True","5621f0d3-4412-4b1c-8100-3fadc5fecd75"
"text","BiomedicalConceptProperty","DSTERM","True","BiomedicalConceptProperty_117","DSTERM","True","4217c4fa-3e3e-4ac3-ae5f-df0a7b3af091"
"datetime","BiomedicalConceptProperty","DSSTDTC","True","BiomedicalConceptProperty_118","DSSTDTC","True","243ceef1-d534-4edd-982a-3bed31f34306"
"string","BiomedicalConceptProperty","Sex","True","BiomedicalConceptProperty_119","Sex","True","e61e70b7-94f1-415a-9d56-643504387a79"
"string","BiomedicalConceptProperty","Race","True","BiomedicalConceptProperty_120","Race","True","85f6e15a-93cf-425c-8b07-f872526c557b"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_121","VSTESTCD","True","6dd70762-465b-43c0-83a5-b22ba0bdd050"
"float","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_122","VSORRES","True","78722fcf-9397-47ee-81a2-c640fbbcf03b"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_123","VSORRESU","True","97343abf-d0f8-4d4d-bcd1-bcc6c7e8b28d"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_124","VSLOC","True","eaeb132c-ae49-4231-9a39-7eb9bc0d3ddc"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_125","VSTESTCD","True","c492aa3c-a563-4298-ab2e-286113c6b986"
"float","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_126","VSORRES","True","0f3ed302-54c3-43f3-8eee-6839c4103e3f"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_127","VSORRESU","True","7a1db807-d725-4176-bcf6-315c11beaab0"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_128","VSTESTCD","True","075e4a7c-fd67-4e33-81de-6c4e4be2d7d8"
"float","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_129","VSORRES","True","760a0d63-a951-4859-bcfb-8f1d8d98e250"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_130","VSORRESU","True","80c32e93-1885-4407-9dfc-6c94015033fd"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_131","LBTESTCD","True","89d7e72d-9f84-4688-8e93-dd5bade4b4ff"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_132","LBORRES","True","bc473374-cae8-45fe-8682-7dc105605734"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_133","LBORRESU","True","8758cc5a-c523-464b-9e9f-a2e4e72a1fb9"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_134","LBSPEC","True","507eabec-6dcd-4da6-9cb0-0d9ab6736c54"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_135","LBFAST","True","06cf2533-c3dd-40bc-9570-0c9e6c1aa407"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_136","LBTESTCD","True","59a3b32a-9f13-4da7-8ab9-9dc8d3dfd826"
"text","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_137","LBORRES","True","206fa488-5961-4355-9ab4-241311c62cde"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_138","LBSPEC","True","f26a5e05-5958-4cce-9632-b0905385e081"
