"label","dateValue","description","id","name","uuid:ID","instanceType"
"Design Approval","2006-06-01","Design approval date","GovernanceDate_1","D_APPROVE","ff6bf1ef-1903-4b5d-971f-8baa99111622","GovernanceDate"
"Protocol Approval","2006-07-01","Protocol document approval date","GovernanceDate_2","P_APPROVE","1ce9fecd-cc08-44a9-8dc9-473110910f10","GovernanceDate"
