"id","uuid:ID","otherReason","instanceType"
"StudyAmendmentReason_1","b07877cc-4b78-4e83-8dd9-76e66264e409","","StudyAmendmentReason"
"StudyAmendmentReason_2","b567ea9e-1ee9-40fd-9098-f6ca2ccd9844","Fix typographical errors","StudyAmendmentReason"
