"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","e4d2055d-3cb9-4cfc-823e-f67480c5b36b"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","7745549b-071e-461b-9e60-0ff891fedc04"
