"id","dataOriginDescription","description","instanceType","label","name","uuid:ID"
"StudyArm_1","Data collected from subjects","LY900018-IMG","StudyArm","","LY-G","b620daa7-6488-4d73-96ca-8a108ba5b633"
"StudyArm_2","Data collected from subjects","IMG-LY900018","StudyArm","","G-LY","5470411c-45b2-4b32-b5e2-c96ebf3fe24f"
