"id","description","instanceType","reasonDurationWillVary","durationWillVary","uuid:ID"
"AdministrationDuration_1","","AdministrationDuration","","False","54d7fb4a-ba5a-4130-91c0-42bd4bad1400"
"AdministrationDuration_2","","AdministrationDuration","","False","e8ecde6c-691a-43fc-b45e-5b4df8a7901f"
