"id","isApproximate","minValue","instanceType","maxValue","uuid:ID"
"Range_2","False","75.0","Range","75.0","ecdb366c-64f6-488e-8cb8-a668bb5e7b50"
"Range_1","False","66.0","Range","66.0","84dca1ec-61d5-4601-9fe0-8ade90e3e8e7"
"Range_3","False","30.0","Range","30.0","45ab3434-51d7-404e-b2ac-f0c4fa2ffcda"
"Range_4","False","18.0","Range","64.0","9e6657d6-6c4b-4ff0-a69d-55a75d139a5e"
"Range_5","False","30.0","Range","30.0","da76b5ac-f5ad-43ff-9a10-323ea598867c"
"Range_6","False","20.0","Range","70.0","5ba9a95f-4a3a-42c9-8275-452876fceac4"
