"id","codeSystem","instanceType","decode","codeSystemVersion","uuid:ID","code"
"Code_1","http://www.cdisc.org","Code","Interventional Study","2023-09-29","4d1b4e2c-d5d0-4758-b1b0-b28e3d9bb687","C98388"
"Code_2","http://www.cdisc.org","Code","Phase III Trial","2023-09-29","07ca7812-91d2-4fb6-b69a-dc196053ccc2","C15602"
"Code_6","http://www.cdisc.org","Code","Sponsor Approval Date","2023-09-29","15132581-503d-441b-b63a-b68960e3e853","C132352"
"Code_7","http://www.cdisc.org","Code","Global","2023-09-29","f164555b-b0bd-4d34-9927-5b83a6c62b90","C68846"
"Code_81","http://www.cdisc.org","Code","New Safety Information Available","2023-09-29","8940df3e-61c9-4e02-bf96-d418a53b20dd","C99904x4"
"Code_82","http://www.cdisc.org","Code","Inconsistency And/Or Error In The Protocol","2023-09-29","74a57167-4f22-445a-a815-4cedb7313ab7","C99904x12"
"Code_83","http://www.cdisc.org","Code","Global","2023-09-29","522de13e-08b6-4940-8877-6a515bfe17cb","C68846"
"Code_84","http://www.cdisc.org","Code","Clinical Study Sponsor","2023-09-29","ed9ab206-afba-4b34-84b1-26416d54edc1","C70793"
"Code_85","ISO 3166 1 alpha3","Code","Japan","2020-08","0cfe6fc7-8ada-426f-9307-3aa2da957fdc","JPN"
"Code_86","http://www.cdisc.org","Code","Study Registry","2023-09-29","82d9329d-d791-465d-b732-68f307b8d1de","C93453"
"Code_87","ISO 3166 1 alpha3","Code","United States of America","2020-08","560af3c9-ad7d-43c9-8a71-ad8dcc99be19","USA"
"Code_127","http://www.cdisc.org","Code","Basic Research","2023-09-29","f26b3a4f-8829-4bb3-9ea4-cc55333746e8","C15714"
"Code_128","http://www.cdisc.org","Code","Device Feasibility Study","2023-09-29","0562f74b-b2b0-4528-a4ae-0e46b591aac9","C139174"
"Code_129","http://www.cdisc.org","Code","Efficacy Study","2023-09-29","d72d4df0-8360-4c52-9ba8-04941c318746","C49666"
"Code_130","http://www.cdisc.org","Code","Parallel Study","2023-09-29","e468eb9d-2a50-48af-bd00-c65c30744951","C82639"
"Code_96","http://www.cdisc.org","Code","Visit","2023-09-29","9b9630a9-75d3-4af6-b0c4-a6f013e9ce97","C25716"
"Code_97","http://www.cdisc.org","Code","Ambulatory Care Facility","2023-09-29","3a278e87-4076-448c-8057-eb49544c49c2","C16281"
"Code_98","http://www.cdisc.org","Code","In Person","2023-09-29","5581623e-882a-4939-a2d5-805ce5bfbbdd","C175574"
"Code_99","http://www.cdisc.org","Code","Visit","2023-09-29","0a7ee772-e93f-4093-98fe-a023c6db6fbd","C25716"
"Code_100","http://www.cdisc.org","Code","Clinic","2023-09-29","dd21b7d5-87a3-46de-80bc-854e720b0024","C51282"
"Code_101","http://www.cdisc.org","Code","In Person","2023-09-29","5273da81-93f9-4729-abc9-94eb6dfa51c1","C175574"
"Code_102","http://www.cdisc.org","Code","Visit","2023-09-29","f49041dc-c9fa-463d-b922-72b0a5150031","C25716"
"Code_103","http://www.cdisc.org","Code","Clinic","2023-09-29","82142767-dd5c-440a-9919-4dc7e29c213b","C51282"
"Code_104","http://www.cdisc.org","Code","In Person","2023-09-29","a21de6ca-9ef6-46c8-b83d-3e8f425ed452","C175574"
"Code_105","http://www.cdisc.org","Code","Visit","2023-09-29","29be4c71-f59a-4ea5-b917-a4777f50c6df","C25716"
"Code_106","http://www.cdisc.org","Code","Clinic","2023-09-29","9acb8ef8-cd37-4265-81fd-825bd9b3da38","C51282"
"Code_107","http://www.cdisc.org","Code","In Person","2023-09-29","6a53c8e0-b997-4cbd-9252-325a829dad7b","C175574"
"Code_108","http://www.cdisc.org","Code","Visit","2023-09-29","f373acb4-2dad-4c9a-986a-641d4192a6cb","C25716"
"Code_109","http://www.cdisc.org","Code","Clinic","2023-09-29","f29f6f3e-03c5-45e8-a10c-697280c71e30","C51282"
"Code_110","http://www.cdisc.org","Code","In Person","2023-09-29","bd9f8b65-36c0-4d83-a0de-2f999fea280c","C175574"
"Code_111","http://www.cdisc.org","Code","Visit","2023-09-29","c21dd2c0-f468-471f-9473-f7a71f5e89ab","C25716"
"Code_112","http://www.cdisc.org","Code","Clinic","2023-09-29","a7cf5a72-ce6b-4bf4-a9f7-f64008112838","C51282"
"Code_113","http://www.cdisc.org","Code","In Person","2023-09-29","dad40223-1f45-4f82-9096-884ca169b543","C175574"
"Code_114","http://www.cdisc.org","Code","Visit","2023-09-29","e54f0b60-243f-4947-8949-2b61652bea3a","C25716"
"Code_115","http://www.cdisc.org","Code","Ambulatory Care Facility","2023-09-29","6c7b27a7-4f71-4a8f-a756-4a339a01c3d9","C16281"
"Code_116","http://www.cdisc.org","Code","In Person","2023-09-29","87e6ab2a-d963-4b1d-b265-05b30776ebdb","C175574"
"Code_88","SNOMED","Code","Obtaining Consent","January 31, 2018","22aed47a-b739-433a-b5de-7ec3ec6f594d","414925007"
"Code_92","SPONSOR","Code","Randomization","12","9f010dc6-7a54-41b9-827a-3e0fa1cef3fa","0001"
"Code_89","SNOMED","Code","Admission procedure","January 31, 2018","f7aee010-ed6e-49b7-b33f-3787ad38ec8d","305056002"
"Code_90","SNOMED","Code","Patient Discharge","January 31, 2018","f71bff06-8063-49d2-9f87-7fafd24f3226","58000006"
"Code_93","SNOMED","Code","Physical examination procedure","January 31, 2018","0ce13db9-d599-473e-9652-5b96c3be9c83","5880005"
"Code_94","SPONSOR","Code","Injection site assessment","12","5dbb44ae-e8f3-4f1f-80f8-dd45bb623852","0003"
"Code_95","SPONSOR","Code","Nasal site inspection","12","36bbcc3a-b41f-496d-ba2a-8ce4a21e3f4c","0004"
"Code_91","SPONSOR","Code","Meal","12","e7a829fd-73f7-4501-aaad-b19110a6f7bc","0002"
"Code_132","NCI Thesaurus","Code","Clinical Test Result","","1f4d02b5-9496-4a9d-b1f3-8b71c863be1c","C77140"
"Code_133","http://www.cdisc.org","Code","Beats per Minute","2023-09-29","b618fc34-1aef-4201-b04a-687b3c39a018","C49673"
"Code_134","NCI Thesaurus","Code","Count per Minute","","7c1ac972-40dd-41ee-85bc-97cedb4a89d1","C73688"
"Code_135","NCI Thesaurus","Code","Anatomic Site","","b40d14de-1608-42c5-9ce0-fa2a12028758","C13717"
"Code_136","NCI Thesaurus","Code","Laterality","","d05e2999-c004-408f-8193-b283230092f4","C25185"
"Code_137","NCI Thesaurus","Code","Test Method","","2d61a83d-dd08-4293-8d83-ccdecf0551ce","C82535"
"Code_138","NCI Thesaurus","Code","Body Position","","45b2b17a-32fb-4143-8c8a-ff6e9877799f","C62164"
"Code_131","NCI Thesaurus","Code","Pulse Rate","","63a6703f-1061-4646-a970-e166190196a8","C49676"
"Code_140","NCI Thesaurus","Code","Clinical Test Result","","c9615d4b-5315-484b-bdfe-dca483fdcfea","C77140"
"Code_141","http://www.cdisc.org","Code","Kelvin","2023-09-29","42645cb4-3af5-43eb-ba3a-19a24502f17f","C42537"
"Code_142","NCI Thesaurus","Code","Unit of Temperature","","744f3387-df48-4c82-83ac-7aa940fd54d0","C44276"
"Code_143","NCI Thesaurus","Code","Anatomic Site","","051d854e-b3fe-48c7-9215-69dd2fe72e30","C13717"
"Code_139","NCI Thesaurus","Code","Body Temperature","","14473cff-0069-4a00-97eb-4aa5c2910e20","C174446"
"Code_145","NCI Thesaurus","Code","Laboratory Test Result","","2295436f-756c-4bea-9881-ec60fce06599","C36292"
"Code_146","NCI Thesaurus","Code","Laboratory Test Fasting Status","","baa03b32-e9f7-48f3-be86-781c402df2d8","C83309"
"Code_147","NCI Thesaurus","Code","Biospecimen Type","","d0f9af5c-2110-465e-a18d-2f88032e5a7d","C70713"
"Code_144","NCI Thesaurus","Code","Specific Gravity","","b00cd1c2-7448-4636-8631-f7424a213833","C64832"
