"id","description","instanceType","label","name","uuid:ID"
"StudyIntervention_1","LY900018","StudyIntervention","LY900018","LY","65ab30d0-b73b-4f40-b386-b5aca8dc1d24"
"StudyIntervention_2","Glucagon","StudyIntervention","GlucaGen","IMG","7ac82daf-c2a1-4c52-820a-1b2ef42e1bd0"
