"uuid:ID","id","otherReason","instanceType"
"76f4986a-71ff-49af-b132-0db0ce85e139","StudyAmendmentReason_1","","StudyAmendmentReason"
"dd332199-d591-4023-83d7-b5a89c28b60e","StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason"
