"isApproximate","uuid:ID","minValue","id","instanceType","maxValue"
"False","680b25eb-042e-457f-8e9d-75fc356aa4fd","300.0","Range_2","Range","300.0"
"False","0e9b76ff-ab64-4c15-9a57-7da81f2cdc9d","300.0","Range_1","Range","300.0"
"False","15aee681-cc40-45b6-b8f9-d59e2547055e","50.0","Range_3","Range","100.0"
