"name","description","uuid:ID","label","id","instanceType"
"IE_Dict","Dictionary for IE","fc829893-3267-4d93-bf82-1f5b04831309","IE Dictionary","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary"
"AS_Dict","Dictionary for Study Assessments","6359e1ce-c938-44b7-aa0f-121b1230eb64","Assessment Dictionary","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary"
