"name","isRequired","datatype","uuid:ID","isEnabled","label","id","instanceType"
"Sex","True","string","12c679cd-d435-44a3-858a-13ebc886c522","True","Sex","BiomedicalConceptProperty_116","BiomedicalConceptProperty"
"Race","True","string","11b20d89-e475-4e2e-8bdf-b430610531e4","True","Race","BiomedicalConceptProperty_117","BiomedicalConceptProperty"
"VSTESTCD","True","","bdc9b300-62a9-4c72-9a71-4cab1ecbfe9a","True","VSTESTCD","BiomedicalConceptProperty_118","BiomedicalConceptProperty"
"VSORRES","True","float","e5903f59-b6a4-4e0d-908a-a92c32e85abd","True","VSORRES","BiomedicalConceptProperty_119","BiomedicalConceptProperty"
"VSORRESU","True","","ea8c4533-7612-418f-abb6-fa458ccce0aa","True","VSORRESU","BiomedicalConceptProperty_120","BiomedicalConceptProperty"
"VSLOC","True","","7598712d-1eed-4f5a-b55b-856001599f04","True","VSLOC","BiomedicalConceptProperty_121","BiomedicalConceptProperty"
"VSTESTCD","True","","a1b80a11-fceb-40ae-b0c6-cb0831096dce","True","VSTESTCD","BiomedicalConceptProperty_122","BiomedicalConceptProperty"
"VSORRES","True","float","8c1a2962-401c-463e-8e5b-8855b125d31b","True","VSORRES","BiomedicalConceptProperty_123","BiomedicalConceptProperty"
"VSORRESU","True","","c9fbfa01-e32a-45a4-80db-29f7c98c2cb5","True","VSORRESU","BiomedicalConceptProperty_124","BiomedicalConceptProperty"
"VSTESTCD","True","","8696684a-303d-4779-8b73-f384c743afb0","True","VSTESTCD","BiomedicalConceptProperty_125","BiomedicalConceptProperty"
"VSORRES","True","float","e772b2f7-80b2-46d0-8a93-7e06ac072563","True","VSORRES","BiomedicalConceptProperty_126","BiomedicalConceptProperty"
"VSORRESU","True","","ce0c37ba-ae7d-4381-84d5-0160040e737c","True","VSORRESU","BiomedicalConceptProperty_127","BiomedicalConceptProperty"
"LBTESTCD","True","","0b389828-fccd-4c1c-b80d-d1e2e99dc6ab","True","LBTESTCD","BiomedicalConceptProperty_128","BiomedicalConceptProperty"
