"label","uuid:ID","description","instanceType","id","name"
"IE Dictionary","c9cca46c-afaf-4f7e-9a38-7d9c5d12cb5a","Dictionary for IE","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1","IE_Dict"
"Assessment Dictionary","4ad1d915-a2de-4818-be08-c06d2183403c","Dictionary for Study Assessments","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2","AS_Dict"
