"id","uuid:ID","otherReason","instanceType"
"StudyAmendmentReason_1","eaef5cda-05d6-4666-92b3-41982d50fe67","","StudyAmendmentReason"
"StudyAmendmentReason_2","ed942481-79ea-402b-9bf6-394887000fe1","Fix typographical errors","StudyAmendmentReason"
