"label","uuid:ID","datatype","instanceType","isRequired","isEnabled","id","name"
"Sex","8e46068b-6d65-4a43-8f73-836aad2465d0","string","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_116","Sex"
"Race","877d5d8d-530b-48f6-85b2-691fac4634d0","string","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_117","Race"
"VSTESTCD","2900bf97-a2b1-4e74-ad45-d61c867b54c6","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_118","VSTESTCD"
"VSORRES","cd9458c5-0e56-4111-9598-fcb1ff4c3cb6","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_119","VSORRES"
"VSORRESU","85b20ab3-fec8-42a2-97bd-36a5a12ec633","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_120","VSORRESU"
"VSLOC","5d25b708-e430-4fa0-813b-a93ca8b8c4cd","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_121","VSLOC"
"VSTESTCD","16badba8-2089-4cb3-9df4-317ea626a2a6","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_122","VSTESTCD"
"VSORRES","fe50855d-3658-4d8a-8f0d-8727c2a9759d","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_123","VSORRES"
"VSORRESU","2eeed807-7c1b-463c-aac7-88fe0a25243c","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_124","VSORRESU"
"VSTESTCD","0ed508dc-ef52-4092-809c-1861b33e2b65","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_125","VSTESTCD"
"VSORRES","559f2a8c-8afa-4833-bba7-1bb0d2bb1dd8","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_126","VSORRES"
"VSORRESU","b8157132-cae3-408a-9d85-12f4b086e010","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_127","VSORRESU"
"LBTESTCD","7ce7374a-18cf-4ecc-995f-7f7e0ade3678","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_128","LBTESTCD"
"LBORRES","0a4c7459-8848-4235-af69-a4b6fb264483","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_129","LBORRES"
"LBORRESU","3844aee1-ac1e-41c7-b055-4e585ba3d1e2","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_130","LBORRESU"
"LBSPEC","81179696-f07c-45e4-8a0a-1a58056f03d1","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_131","LBSPEC"
"LBFAST","8bd42a22-e3e9-4ca7-ae94-b9caf7459388","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_132","LBFAST"
"LBTESTCD","82e0664e-9abc-4586-9e41-3dbd7047cf05","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_133","LBTESTCD"
"LBORRES","acee5a4b-babd-46f1-b9a6-fd70ada5f8a3","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_134","LBORRES"
